日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2014-02-18,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,5169.9份,5169.8968份,0.997,5154.39,170.12,0.964,-,0,51.7,0份,2.06%
2014-02-18,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,5357.56份,5357.5578份,0.807,4320.87,187.35,0.772,-,0,50.36,0份,1.72%
2014-02-18,,Cash,,,,,230927.31,,,,,,
2014-02-19,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,6355.43份,6355.4282份,0.791,5023.97,55.6,0.782,-,0,-50.84,0份,2.01%
2014-02-19,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,7232.34份,7232.3447份,0.687,4968.62,-17.92,0.689,-,0,-65.09,0份,1.98%
2014-02-19,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,5169.9份,5169.8968份,0.994,5138.88,154.61,0.964,-,0,-15.51,0份,2.05%
2014-02-19,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,5357.56份,5357.5578份,0.798,4274.26,140.74,0.772,-,0,-46.61,0份,1.71%
2014-02-19,,Cash,,,,,230927.31,,,,,,
2014-02-20,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,7563.47份,7563.471份,0.800,6051.53,113.66,0.785,-,0,72.61,1208.0428份,2.42%
2014-02-20,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,8664.62份,8664.619份,0.699,6056.57,71.08,0.691,-,0,103.98,1432.2743份,2.42%
2014-02-20,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,6147.79份,6147.7928份,0.999,6141.65,170.55,0.971,-,0,30.74,977.896份,2.45%
2014-02-20,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,6231.25份,6231.2464份,0.806,5024.25,193.7,0.775,-,0,52.97,873.6886份,2.01%
2014-02-20,,Cash,,,,,227274.99,,,,,,
2014-02-21,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,7563.47份,7563.471份,0.794,6005.4,67.53,0.785,-,0,-46.14,0份,2.4%
2014-02-21,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,8664.62份,8664.619份,0.695,6021.91,36.42,0.691,-,0,-34.66,0份,2.4%
2014-02-21,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,6147.79份,6147.7928份,0.997,6129.35,158.25,0.971,-,0,-12.3,0份,2.45%
2014-02-21,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,6231.25份,6231.2464份,0.798,4973.16,142.61,0.775,-,0,-51.1,0份,1.99%
2014-02-21,,Cash,,,,,227274.99,,,,,,
2014-02-24,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,7563.47份,7563.471份,0.786,5946.4,8.53,0.785,-,0,-59,0份,2.38%
2014-02-24,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,8664.62份,8664.619份,0.688,5961.26,-24.23,0.691,-,0,-60.65,0份,2.38%
2014-02-24,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,6147.79份,6147.7928份,0.986,6061.72,90.63,0.971,-,0,-67.63,0份,2.42%
2014-02-24,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,6231.25份,6231.2464份,0.788,4911.47,80.92,0.775,-,0,-61.69,0份,1.96%
2014-02-24,,Cash,,,,,227274.99,,,,,,
2014-02-25,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,7563.47份,7563.471份,0.768,5806.48,-131.39,0.785,-,0,-139.92,0份,2.33%
2014-02-25,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,8664.62份,8664.619份,0.670,5805.29,-180.2,0.691,-,0,-155.96,0份,2.33%
2014-02-25,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,6147.79份,6147.7928份,0.970,5963.36,-7.74,0.971,-,0,-98.36,0份,2.39%
2014-02-25,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,6231.25份,6231.2464份,0.769,4793.7,-36.85,0.775,-,0,-117.77,0份,1.92%
2014-02-25,,Cash,,,,,227274.99,,,,,,
2014-02-26,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,7563.47份,7563.471份,0.749,5664.28,-273.59,0.785,-,0,-142.19,0份,2.27%
2014-02-26,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,8664.62份,8664.619份,0.659,5709.98,-275.51,0.691,-,0,-95.31,0份,2.29%
2014-02-26,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,6147.79份,6147.7928份,0.948,5828.11,-142.99,0.971,-,0,-135.25,0份,2.34%
